This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
I0502 14:57:37.601719 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.601924 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.601962 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.601971 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.601977 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.601983 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.601989 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.601995 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602001 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602007 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602013 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602019 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602024 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602030 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602037 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602043 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602049 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602054 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602060 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602065 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602071 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602076 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602082 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602088 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602094 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602099 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602105 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602110 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602116 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:37.602121 31954475 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977221 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977389 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977415 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977435 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977452 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977506 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977518 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977531 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977544 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977556 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977567 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977578 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977589 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977600 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977610 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977622 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977634 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977645 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977661 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977674 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977685 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977697 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977707 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977718 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977730 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977741 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977751 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977762 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977772 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977784 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977794 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
